question,answer
What is compound interest?,"Compound interest is interest calculated on both the initial principal and accumulated interest from previous periods. It allows investments to grow exponentially over time."
How do I create a budget?,"Track income vs. expenses, categorize spending (needs/wants/savings), set spending limits, and review monthly. Popular methods include 50/30/20 rule and zero-based budgeting."
What's the difference between stocks and bonds?,Stocks represent ownership in a company (higher risk/return), while bonds are debt instruments where you loan money to entities (fixed income, lower risk).
Why is an emergency fund important?,It covers unexpected expenses (medical/job loss) without debt. Aim for 3-6 months' living expenses in a liquid account.
How does a credit score work?,A numerical rating (300-850) based on payment history (35%), credit utilization (30%), credit age (15%), credit mix (10%), and new credit (10%).
What is dollar-cost averaging?,Investing fixed amounts regularly regardless of market conditions. Reduces timing risk and lowers average share cost over time.
What are index funds?,Mutual funds/ETFs tracking a market index (e.g., S&P 500). Offer diversification, low fees, and passive management.
What is the time value of money?,Money available now is worth more than the same amount in the future due to earning potential. Core concept for investing and loans.
How much should I save for retirement?,General rule: 15% of pre-tax income. Factors include age, income, retirement lifestyle, and existing savings.
What's a Roth IRA?,Retirement account with after-tax contributions. Qualified withdrawals (after age 59.5) are tax-free. Income limits apply.
What is APR (Annual Percentage Rate)?,The yearly cost of borrowing including interest and fees. Used to compare loan/credit card costs.
How can I reduce debt effectively?,Strategies: Snowball method (pay smallest debts first for motivation) or Avalanche method (prioritize highest interest debts).
What is diversification?,Spreading investments across different assets (stocks/bonds/real estate) to reduce overall portfolio risk.
What are mutual funds?,Investment vehicles pooling money to buy diversified portfolios. Professionally managed but have fees (expense ratios).
What's a 401(k)?,"Employer-sponsored retirement plan. Contributions are tax-deferred, often with employer matching. Withdrawals taxed in retirement."
What is inflation?,"General increase in prices over time, reducing purchasing power. Measured by CPI. Target is ~2% annually in healthy economies."
What is net worth?,"Total assets (cash, investments, property) minus liabilities (debts, loans). Measures financial health."
How do taxes affect investments?,Capital gains tax on profits: short-term (held <1 year) taxed as income, long-term (held >1 year) at lower rates. Tax-advantaged accounts (IRA/401k) defer or eliminate taxes.
What is a health savings account (HSA)?,Tax-advantaged account for medical expenses. Contributions tax-deductible, growth tax-free, withdrawals tax-free for qualified expenses.
